t,hbe,dvbe,sbel1,sbel2,alphax,betax,alppx,psiblx,thtblx,phiblx,ppx,qqx,rrx,mach,pdynmc,rho,grav,thrust,mass,xcg,ai11,ai33
0.0,9999.99999755816,250.00000004770067,0.125,0.0,0.0,0.0,0.0008102847180697748,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348197556304093,12896.836186773413,0.4126987579767492,9.767358615935686,0.0,91.9563,1.5357,0.3078,59.8043
0.010000000000000002,9999.999460353436,250.0000210359845,2.625,0.0,0.021265879200173927,0.0,0.021265879195594934,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348198077588517,12896.838670052903,0.41269878058852805,9.767358617287233,7288.709461052534,91.77214,1.5353400000000001,0.3078,59.793459999999996
0.02000000000000001,9999.99794641285,250.00008018477507,5.125,0.0,0.04365100876526453,0.0,0.04365100876346912,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348199753106569,12896.846643295154,0.41269885304616793,9.767358621618156,13641.309389402435,91.58798,1.53498,0.3078,59.78262
0.03000000000000002,9999.995455736404,250.00017749404526,7.625,0.0,0.06603612501707315,0.0,0.06603612501504412,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348202584153236,12896.860115330426,0.4126989754746165,9.767358628935925,19993.909268338444,91.40382,1.53462,0.3078,59.77178
0.04000000000000003,9999.991988324093,250.00031296375064,10.125,0.0,0.08842122112865687,0.0,0.08842122112769102,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348206570726862,12896.879086166784,0.41269914787390694,9.767358639240538,26346.509097860515,91.21966,1.53426,0.3078,59.760940000000005
0.05000000000000004,9999.987544175918,250.00048659382938,12.625,0.0,0.11080629027310963,0.0,0.11080629027553943,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348211712825117,12896.903555815634,0.41269937024408804,9.767358652531993,32699.108877968563,91.0355,1.5339,0.3078,59.7501
0.060000000000000046,9999.982123291878,250.00069838420217,15.125,0.0,0.13319132562357472,0.0,0.1331913256239677,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348218010444993,12896.933524291642,0.4126996425852212,9.767358668810296,32822.2136314936,90.94022602739726,1.53265799086758,0.3074255707762557,59.66837853881279
0.07000000000000005,9999.975725671971,250.00094833477223,17.625,0.0,0.15557632035325725,0.0,0.15557632035461325,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.834822546358281,12896.968991612792,0.4126999648973822,9.76735868807544,32945.31833560446,90.84495205479452,1.5314159817351598,0.30705114155251145,59.586657077625574
0.08000000000000006,9999.968351316196,250.00123644542546,20.125,0.0,0.17796126763543677,0.0,0.1779612676346377,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348234072234211,12897.009957800376,0.412700337180661,9.767358710327429,33068.42299030103,90.74967808219178,1.5301739726027397,0.30667671232876714,59.50493561643836
0.09000000000000007,9999.96000022455,250.00156271603026,22.625,0.0,0.20034616064347963,0.0,0.20034616064479463,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348243836394161,12897.056422878972,0.412700759435161,9.767358735566262,33191.52759558317,90.65440410958904,1.5289319634703196,0.30630228310502283,59.423214155251145
0.10000000000000007,9999.95067239703,250.00192714643762,25.125,0.0,0.22273099255085152,0.0,0.22273099255129516,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348254756056952,12897.10838687646,0.4127012316609997,9.767358763791938,33314.63215145072,90.5591301369863,1.5276899543378994,0.3059278538812785,59.34149269406393
0.11000000000000008,9999.940367833633,250.00232973648113,27.625,0.0,0.24511575653113,0.0,0.2451157565302589,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348266831216201,12897.16584982402,0.4127017538583085,9.767358795004462,33437.73665790354,90.46385616438356,1.5264479452054796,0.30555342465753427,59.259771232876716
0.12000000000000009,9999.929086534356,250.00277048597687,30.125,0.0,0.2675004457580169,0.0,0.2675004457580847,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.834828006186485,12897.228811756137,0.41270232602723245,9.767358829203827,33560.84111494141,90.36858219178082,1.5252059360730594,0.30517899543378996,59.1780497716895
0.1300000000000001,9999.916828499197,250.0032493947236,32.625,0.0,0.28988505340535103,0.0,0.28988505340502246,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.834829444799516,12897.297272710586,0.41270294816793096,9.767358866390037,33683.94552256415,90.27330821917808,1.5239639269406393,0.30480456621004565,59.09632831050229
0.1400000000000001,9999.903593728151,250.0037664625026,35.125,0.0,0.31226957264712035,0.0,0.3122695726466797,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348309989598722,12897.371232728454,0.4127036202805771,9.767358906563093,33807.04988077151,90.17803424657534,1.5227219178082192,0.3044301369863014,59.01460684931507
0.1500000000000001,9999.889382221214,250.00432168907773,37.625,0.0,0.33465399665747464,0.0,0.3346539966578383,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348326686666453,12897.450691854116,0.4127043423653577,9.767358949722993,33930.154189563276,90.0827602739726,1.521479908675799,0.3040557077625571,58.93288538812786
0.16000000000000011,9999.874193978381,250.0049150741954,40.125,0.0,0.35703831861073804,0.0,0.35703831861063584,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348344539188587,12897.535650135256,0.4127051144224738,9.767358995869738,34053.25844893917,89.98748630136986,1.520237899543379,0.30368127853881277,58.85116392694064
0.17000000000000012,9999.858028999652,250.00554661758468,42.625,0.0,0.37942253168142154,0.0,0.3794225316810737,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348363547154692,12897.626107622846,0.41270593645214,9.767359045003326,34176.36265889892,89.89221232876712,1.5189958904109588,0.30330684931506846,58.76944246575343
0.18000000000000013,9999.840887285016,250.00621631895714,45.125,0.0,0.40180662904423536,0.0,0.40180662904336856,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348383710553652,12897.722064371184,0.4127068084545854,9.767359097123762,34299.466819442234,89.79693835616438,1.5177538812785387,0.3029324200913242,58.687721004566214
0.19000000000000014,9999.82276883447,250.00692417800693,47.625,0.0,0.4241906038741015,0.0,0.424190603873824,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348405029373682,12897.823520437832,0.4127077304300521,9.767359152231041,34422.570930568785,89.70166438356163,1.5165118721461186,0.3025579908675799,58.605999543379
0.20000000000000015,9999.803673648008,250.00767019441082,50.125,0.0,0.44657444934616614,0.0,0.4465744493461897,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348427503602319,12897.930475883682,0.4127087023787971,9.767359210325166,34545.674992278255,89.6063904109589,1.5152698630136985,0.3021835616438356,58.52427808219178
0.21000000000000016,9999.783601725627,250.00845436782816,52.625,0.0,0.4689581586358124,0.0,0.46895815863611945,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348451133226426,12898.042930772903,0.41270972430109015,9.767359271406134,34668.7790045703,89.51111643835617,1.5140278538812786,0.30180913242009133,58.44255662100456
0.22000000000000017,9999.762553067318,250.00927669790082,55.125,0.0,0.4913417249186724,0.0,0.49134172491847544,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348475918232185,12898.16088517298,0.41271079619721607,9.76735933547395,34791.88296744454,89.41584246575343,1.5127858447488585,0.301434703196347,58.36083515981735
0.23000000000000018,9999.740527673075,250.0101371842533,57.625,0.0,0.51372514137064,0.0,0.5137251413710097,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348501858605113,12898.284339154681,0.4127119180674725,9.767359402528609,34914.98688090058,89.32056849315069,1.5115438356164383,0.3010602739726027,58.279113698630134
0.24000000000000019,9999.717525542892,250.01103582649267,60.125,0.0,0.5361084011678836,0.0,0.5361084011682848,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348528954330043,12898.413292792116,0.41271308991217254,9.767359472570114,35038.09074493804,89.22529452054795,1.5103018264840182,0.3006858447488584,58.19739223744292
0.25000000000000017,9999.693546676759,250.0119726242086,62.625,0.0,0.5584914974868578,0.0,0.558491497486843,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348557205391135,12898.547746162638,0.41271431173164136,9.767359545598463,35161.19455955648,89.13002054794521,1.509059817351598,0.30031141552511414,58.115670776255705
0.2600000000000002,9999.668591074675,250.0129475769733,65.125,0.0,0.5808744235043168,0.0,0.5808744235041594,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.834858661177188,12898.687699346934,0.41271558352621895,9.767359621613661,35284.29832475549,89.03474657534247,1.507817808219178,0.29993698630136983,58.03394931506849
0.2700000000000002,9999.642658736628,250.0139606843416,67.625,0.0,0.6032571723973265,0.0,0.6032571723972223,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348617173455085,12898.833152429,0.4127169052962597,9.767359700615703,35400.64544159719,88.93500446096654,1.506592565055762,0.29957509293680296,57.953797769516726
0.2800000000000002,9999.615749662611,250.01501194585094,70.125,0.0,0.6256397373432758,0.0,0.6256397373437468,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348648890422886,12898.984105496096,0.41271827704213065,9.767359782604592,35456.18311858209,88.79504907063196,1.5055182156133828,0.2993260223048327,57.88777546468401
0.2900000000000002,9999.587863852616,250.01610136102127,72.625,0.0,0.648022111519892,0.0,0.6480221115197614,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348681762656744,12899.140558638815,0.4127196987642139,9.767359867580325,35511.72074614612,88.6550936802974,1.5044438661710036,0.2990769516728624,57.8217531598513
0.3000000000000002,9999.559001306634,250.01722892935518,75.125,0.0,0.6704042881052501,0.0,0.6704042881052874,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348715790137448,12899.302511951022,0.4127211704629042,9.767359955542906,35567.258324288756,88.51513828996282,1.5033695167286245,0.29882788104089214,57.755730855018584
0.3100000000000002,9999.529162024657,250.01839465033788,77.625,0.0,0.692786260277787,0.0,0.6927862602778676,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348750972845103,12899.46996552993,0.41272269213861207,9.767360046492334,35622.795853009484,88.37518289962824,1.5022951672862452,0.2985788104089219,57.68970855018587
0.32000000000000023,9999.498346006678,250.01959852343705,80.125,0.0,0.715168021216314,0.0,0.7151680212164837,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348787310759148,12899.642919475998,0.41272426379176014,9.767360140428606,35678.333332307746,88.23522750929368,1.5012208178438662,0.29832973977695165,57.623686245353156
0.33000000000000024,9999.466553252683,250.02084054810314,82.625,0.0,0.7375495641000283,0.0,0.7375495640998156,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348824803858345,12899.821373893003,0.4127258854227855,9.767360237351726,35733.87076218297,88.0952721189591,1.500146468401487,0.2980806691449814,57.55766394052044
0.34000000000000025,9999.433783762663,250.022120723769,85.125,0.0,0.7599308821085266,0.0,0.7599308821086456,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348863452120777,12900.005328888068,0.41272755703214026,9.767360337261692,35789.40814263459,87.95531672862454,1.4990721189591076,0.2978315985130111,57.49164163568773
0.35000000000000026,9999.400037536609,250.02343904985025,87.625,0.0,0.7823119684218166,0.0,0.7823119684217906,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348903255523858,12900.194784571548,0.41272927862028863,9.767360440158507,35844.945473661995,87.81536133828996,1.4979977695167286,0.2975825278810409,57.425619330855014
0.36000000000000026,9999.365314574512,250.02479552574496,90.125,0.0,0.8046928162203306,0.0,0.8046928162199606,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,0.0,0.0,0.8348944214044325,12900.38974105713,0.4127310501877097,9.767360546042166,35900.48275526457,87.67540594795538,1.4969234200743493,0.2973334572490706,57.3595970260223
