0,0,0,0,0,0,0,0
0.001,0,0,-0.5,0.5,-0.5,0.5,-0.5
0.002,0,0,-1.1,1.1,-1.1,1.1,-1.1
0.003,0,0,-1.7,1.7,-1.7,1.7,-1.7
0.004,0,0,-2.3,2.3,-2.3,2.3,-2.3
0.005,0,0,-2.9,2.9,-2.9,2.9,-2.9
0.006,0,0,-3.5,3.5,-3.5,3.5,-3.5
0.007,0,0,-4.1,4.1,-4.1,4.1,-4.1
0.008,0,0,-4.7,4.7,-4.7,4.7,-4.7
0.009,0,0,-5.3,5.3,-5.3,5.3,-5.3
0.01,0,0,-5.9,5.9,-5.9,5.9,-5.9
0.011,0,0,-6.5,6.5,-6.5,6.5,-6.5
0.012,0,0,-7.1,7.1,-7.1,7.1,-7.1
0.013,0,0,-7.7,7.7,-7.7,7.7,-7.7
0.014,0,0,-8.3,8.3,-8.3,8.3,-8.3
0.015,0,0,-8.9,8.9,-8.9,8.9,-8.9
0.016,0,0,-9.5,9.5,-9.5,9.5,-9.5
0.017,0,0,-10.1,10.1,-10.1,10.1,-10.1
0.018,0,0,-10.7,10.7,-10.7,10.7,-10.7
0.019,0,0,-11.3,11.3,-11.3,11.3,-11.3
0.02,0,0,-11.9,11.9,-11.9,11.9,-11.9
0.021,0,0,-12.5,12.5,-12.5,12.5,-12.5
0.022,0,0,-13.1,13.1,-13.1,13.1,-13.1
0.023,0,0,-13.7,13.7,-13.7,13.7,-13.7
0.024,0,0,-14.3,14.3,-14.3,14.3,-14.3
0.025,0,0,-14.9,14.9,-14.9,14.9,-14.9
0.026,0,0,-15.5,15.5,-15.5,15.5,-15.5
0.027,0,0,-16.1,16.1,-16.1,16.1,-16.1
0.028,0,0,-16.7,16.7,-16.7,16.7,-16.7
0.029,0,0,-17.3,17.3,-17.3,17.3,-17.3
0.03,0,0,-17.9,17.9,-17.9,17.9,-17.9
0.031,3.393623800374e-05,-0.0175014335152115,-18.4824985664848,18.4649292604936,-18.5,18.4650650054456,-18.5
0.032,0.00011039421811887,-0.114824719781094,-18.9299533780403,18.8149792003105,-19.0448494283089,18.815278116208,-19.044706767334
0.033,0.000192802485706522,-0.215492145212872,-19.1582123488511,18.9424916122087,-19.3738615076058,18.9429487950678,-19.3735474805221
0.034,0.000271607595084156,-0.309612027210284,-19.1742663650478,18.8643511371197,-19.4841184067304,18.8649575385553,-19.4836383777857
0.035,0.000345046851816022,-0.394344942966059,-18.9975602641973,18.6028433034644,-19.3922232831002,18.603587338998,-19.3915871312265
0.036,0.000412087412715145,-0.467971849614567,-18.6515723583439,18.1831661283814,-19.119934002436,18.1840348890772,-19.1191544134809
0.037,0.000441973749571112,-0.528970060914751,-18.1625670390307,17.6331303902121,-18.6919544595408,17.6340635660197,-18.6911197403501
0.038,0.00043247653379197,-0.551292559383105,-17.584889537499,17.0331303902121,-18.1365804620459,17.0340635660197,-18.1357837317183
0.039,0.00043247653379197,-0.551292559383105,-16.984889537499,16.4331303902121,-17.5365804620459,16.4340635660197,-17.5357837317183
0.04,0.00043247653379197,-0.551292559383104,-16.384889537499,15.8331303902121,-16.9365804620459,15.8340635660197,-16.9357837317183
0.041,0.00043247653379197,-0.551292559383104,-15.784889537499,15.2331303902121,-16.3365804620459,15.2340635660197,-16.3357837317183
0.042,0.00043247653379197,-0.551292559383104,-15.184889537499,14.6331303902121,-15.7365804620459,14.6340635660197,-15.7357837317183
0.043,0.00043247653379197,-0.551292559383104,-14.584889537499,14.0331303902121,-15.1365804620459,14.0340635660197,-15.1357837317183
0.044,0.00043247653379197,-0.551292559383104,-13.984889537499,13.4331303902121,-14.5365804620459,13.4340635660197,-14.5357837317183
0.045,0.00043247653379197,-0.551292559383104,-13.384889537499,12.8331303902121,-13.9365804620459,12.8340635660197,-13.9357837317183
0.046,0.00043247653379197,-0.551292559383104,-12.784889537499,12.2331303902121,-13.3365804620459,12.2340635660197,-13.3357837317183
0.047,0.00043247653379197,-0.551292559383104,-12.184889537499,11.6331303902121,-12.7365804620459,11.6340635660197,-12.7357837317183
0.048,0.00043247653379197,-0.551292559383104,-11.584889537499,11.0331303902121,-12.1365804620459,11.0340635660197,-12.1357837317183
0.049,0.00043247653379197,-0.551292559383104,-10.984889537499,10.4331303902121,-11.5365804620459,10.4340635660197,-11.5357837317183
0.05,0.00043247653379197,-0.551292559383104,-10.384889537499,9.83313039021214,-10.9365804620459,9.83406356601969,-10.9357837317183
0.051,0.00043247653379197,-0.551292559383104,-9.78488953749902,9.23313039021214,-10.3365804620459,9.23406356601969,-10.3357837317183
0.052,0.00043247653379197,-0.551292559383104,-9.18488953749902,8.63313039021214,-9.73658046204593,8.63406356601969,-9.73578373171832
0.053,0.00043247653379197,-0.551292559383104,-8.58488953749902,8.03313039021214,-9.13658046204593,8.03406356601969,-9.13578373171832
0.054,0.00043247653379197,-0.551292559383104,-7.98488953749902,7.43313039021214,-8.53658046204593,7.43406356601969,-8.53578373171832
0.055,0.00043247653379197,-0.551292559383104,-7.38488953749902,6.83313039021214,-7.93658046204593,6.83406356601969,-7.93578373171832
0.056,0.00043247653379197,-0.551292559383104,-6.78488953749902,6.23313039021214,-7.33658046204593,6.23406356601969,-7.33578373171832
0.057,0.00043247653379197,-0.551292559383104,-6.18488953749902,5.63313039021214,-6.73658046204593,5.63406356601969,-6.73578373171832
0.058,0.00043247653379197,-0.551292559383104,-5.58488953749902,5.03313039021214,-6.13658046204593,5.03406356601969,-6.13578373171832
0.059,0.00043247653379197,-0.551292559383104,-4.98488953749902,4.43313039021214,-5.53658046204593,4.4340635660197,-5.53578373171832
0.06,0.00043247653379197,-0.551292559383104,-4.38488953749902,3.83313039021214,-4.93658046204593,3.8340635660197,-4.93578373171832
0.061,0.000267409302301624,-0.542575943383125,-3.79529811040223,3.25251622705445,-4.3382029324253,3.25292810698376,-4.33754517514541
0.062,-3.33340362598245e-05,-0.522455749866519,-3.25769448850854,2.73533463864866,-3.78017947030918,2.73514283863538,-3.78012100644093
0.063,-0.000315141666744401,-0.50151823939878,-2.78590109088323,2.28475802433552,-3.28716421979959,2.28400767863339,-3.28767444076444
0.064,-0.000569141701808551,-0.480506916441108,-2.37888528654171,1.89900258674849,-2.85887813622709,1.89775415345271,-2.85990626973855
0.065,-0.000790166878802956,-0.460005224911637,-2.03372420250699,1.57455782114566,-2.49298793721133,1.57288013404504,-2.49447091762592
0.066,-0.000975932071830665,-0.440433599965025,-1.7461755493963,1.30675948328208,-2.18567481906847,1.30472441558046,-2.18754347965417
0.067,-0.00112634152299984,-0.422073037720077,-1.51114764702419,1.09023537547436,-1.93212876786851,1.08791384313387,-1.93431260162002
0.068,-0.00124289191246219,-0.405088559762696,-1.32308190759867,0.919263794615156,-1.72695513031562,0.916722901056786,-1.7293858044071
0.069,-0.00132817067705265,-0.389551644598179,-1.17625185187726,0.788049642377312,-1.56449659021956,0.785350772180855,-1.56711040273132
