t,hbe,dvbe,sbel1,sbel2,alphax,betax,mach,pdynmc,ppx,qqx,rrx,psiblx,thtblx,phiblx,thrust,mass,ca,cn,FAPB1,FAPB2,FAPB3,FMB1,FMB2,FMB3
0.0,9999.9999975583,249.99911265735875,0.1249995563048317,0.0,0.0,0.0,0.8348197556304093,12.896836186773413,0.0,-1.052907751219773e-05,0.0,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,91.9563,0.6937742261145262,0.0002,-163.20226401723482,0.0,-0.04704765840934941,0.0,-0.02198012194315119,0.0
0.010000000000000002,9999.999460619352,250.4240275742197,2.6265211103051374,0.0,0.021217572424174293,0.0,0.8359880202520277,12.932958535202598,0.0,-0.0021924620365959976,0.0,0.0008102847180697748,-5.486814047917002e-06,0.0008102847180697748,7288.709461062353,91.77214,0.6954909686117533,0.0055502186077540224,7124.645114200327,0.0,-1.3092808273847623,0.0,-0.45432847536791954,0.0
0.02000000000000001,9999.997948551994,251.54765157963007,5.135805729752366,0.0,0.04329828476417782,0.0,0.8395080887769745,13.042103463014012,0.0,-0.008748295247232602,0.0,0.0008102847180697748,-5.020991495549974e-05,0.0008102847180697748,13641.309389495149,91.58798,0.7008063463541093,0.011133480101331032,13474.595992384377,0.0,-2.6485209487817984,0.0,-0.9154335156656194,0.0
0.03000000000000002,9999.995463000492,253.367489853237,7.659804748369186,0.0,0.0648986804475543,0.0,0.8453521308950372,13.224319505255655,0.0,-0.01978209944831018,0.0,0.0008102847180697748,-0.00017830457039250111,0.0008102847180697748,19993.909268670242,91.40382,0.7096854659398508,0.016626217196736272,19822.72491060944,0.0,-4.010436248731116,0.0,-1.3896297006257603,0.0
0.04000000000000003,9999.992005601309,255.88614421794614,10.205492958805715,0.0,0.08580393620519006,0.0,0.8535288328101258,13.481389188567409,0.0,-0.03545499271260616,0.0,0.0008102847180697748,-0.0004351421713634083,0.0008102847180697748,26346.509098670474,91.21966,0.7221453017315703,0.02198831468550827,26168.933179883177,0.0,-5.406938428458772,0.0,-1.884014728309084,0.0
0.05000000000000004,9999.987577945709,259.10621883077965,12.779871206969661,0.0,0.10581233247581942,0.0,0.8640468897116093,13.81570857531528,0.0,-0.05599641972252026,0.0,0.0008102847180697748,-0.0008679782684584947,0.0008102847180697748,32699.108879576615,91.0355,0.7382024856457597,0.02718148195816192,32513.08294247532,0.0,-6.849693344835791,0.0,-2.405724850931842,0.0
0.060000000000000046,9999.982181541813,262.6859804844475,15.388813228429084,0.0,0.12487141042177297,0.0,0.8759837448975446,14.200086447636082,0.0,-0.08173502698184475,0.0,0.0008102847180697748,-0.0015267265946696071,0.0008102847180697748,32822.21363429636,90.94022602739726,0.756445571788263,0.03219197521191407,32626.286986871553,0.0,-8.338029876151117,0.0,-2.962631611201358,0.0
0.07000000000000005,9999.97581784478,266.2819567683467,18.033631873310735,0.0,0.14308582590709706,0.0,0.8879862159343408,14.591897122369488,0.0,-0.11297114435635595,0.0,0.0008102847180697748,-0.0024646705055715225,0.0008102847180697748,32945.31834007246,90.84495205479452,0.7748008362079977,0.03703195250147724,32739.1002910294,0.0,-9.856283886430614,0.0,-3.5423148428430427,0.0
0.08000000000000006,9999.96848819576,269.89413773884587,20.714488949559495,0.0,0.16042376744049874,0.0,0.9000427875210653,14.990844642674324,0.0,-0.14993060269993205,0.0,0.0008102847180697748,-0.0037377000506297014,0.0008102847180697748,33068.42299697341,90.74967808219178,0.7932501112661506,0.041690290131967185,32851.52223431607,0.0,-11.399501363568413,0.0,-4.1430306674802955,0.0
0.09000000000000007,9999.960193763363,273.52251246689576,23.431546173838477,0.0,0.17684975658583157,0.0,0.9121534230012104,15.397000392050735,0.0,-0.19282230986720034,0.0,0.0008102847180697748,-0.005403898729682479,0.0008102847180697748,33191.52760505918,90.65440410958904,0.8117927850417548,0.04615485061685501,32963.542674408156,0.0,-12.962187655499937,0.0,-4.762751637588364,0.0
0.10000000000000007,9999.950935497376,277.167068969379,26.184965160124104,0.0,0.19232628347118902,0.0,0.924318082197562,15.810435899468917,0.0,-0.24183467274857393,0.0,0.0008102847180697748,-0.0075233600228844,0.0008102847180697748,33314.63216437887,90.5591301369863,0.830428200207341,0.05041276270612686,33075.15132782722,0.0,-14.53815101983369,0.0,-5.399072743975335,0.0
