t,maut,mins,mseek,mguid,sbel1,sbel2,hbe,stel1,stel2,stel_hbe,sbelc1,sbelc2,hbem,dvbe,dvbec,mach,pdynmc,psivlx,thtvlx,alphax,betax,alppx,alphaxc,betaxc,psiblx,thtblx,phiblx,psivlcx,thtvlcx,phiblcx,ppx,qqx,rrx,wbeb_p,wbeb_q,wbeb_r,fspb1,fspb2,fspb3,fspcb1,fspcb2,fspcb3,dpcx,dqcx,drcx,dpx,dqx,drx,delcx1,delcx2,delcx3,delcx4,delx1,delx2,delx3,delx4,thrust,mass,xcg,anx,ayx,ancomx,alcomx,an_cmd_mag,an_ach_mag,tr_err_n,tr_err_l,tr_err_mag,dtbc,tgoc,esttc1,esttc2,esttc3,evbe1,evbe2,evbe3,rece1x,rece2x,rece3x,psipbx,thtpbx,sigdpy,sigdpz,tgt_g,tgt_g_n,tgt_g_e,tgt_g_d
0.0,5,0,0,30,0.1249995563048317,0.0,9999.9999975583,6000.0,1500.0,10000.0,0.0,0.0,10000.0,249.99911265735875,250.0,0.8348197556304093,12.896836186773413,0.0,-0.001119196934175424,0.0,0.0,0.0008102847180697748,0.0,0.0,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,-0.0,0.0,0.0,-1.0522316378977807e-05,0.0,0.0,-1.052231637657525e-05,0.0,-1.7747806731810092,0.0,-0.0005116306159485474,-1.7747806731810092,0.0,-0.0005116306159485474,0.0,-0.0,-28.0,0.0,0.0,0.0,28.0,-28.0,28.0,-28.0,0.0,0.0,0.0,0.0,0.0,91.9563,1.5357,5.238167615897807e-05,0.0,-0.0,3.0485633495257094,3.0485633495257094,5.238167615897807e-05,-5.238167615897807e-05,3.0485633495257094,3.048563349975731,6184.537171118727,14.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010000000000000002,5,0,0,30,2.626520371415945,-4.1414322791528445e-05,9999.999460619352,5998.0,1500.0,10000.0,2.376133722985652,-2.89765708269746e-05,9999.999558221098,250.42370532387093,250.3496302877161,0.8359872633889105,12.932935117463007,-0.003185192345278997,-0.02344644564732774,0.021217592036044865,-0.003981516096596786,0.021587929065965156,0.021215998093366946,-0.004703090166115784,0.0020036026611873195,-5.486178094647308e-06,-0.0008102847180697748,-0.0025069492965179244,-0.021221484199976662,-1.137498075958098e-10,0.0,-0.002192248225557013,1.0347835262830851,0.0,-0.002192248225056458,1.0347835260468135,77.52693007657282,-2.2001103610232167,-0.014267711949488622,77.52693007657282,-2.2001103610232167,-0.014267711949488622,3.337742951007479e-11,-0.2008689773411383,-28.0,0.0,0.0,-5.999999999999999,27.799131022625485,-28.200868977374515,27.79913102269224,-28.20086897730776,5.999999999999999,-5.999999999999999,5.999999999999999,-5.999999999999999,7288.709461062353,91.77214,1.5353400000000001,0.0014607543869882167,-0.22525131381265948,0.002674362383667736,3.0575436460974426,3.057544815698537,0.2252560502577196,0.0012136079966795193,3.282794959910102,3.2827951842378984,6180.170166304243,14.14664557289757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02000000000000001,5,0,0,30,5.135791286542475,-0.0003976225006721923,9999.9979485522,5996.0,1500.0,10000.0,4.884318340505195,-0.00033769498134771786,9999.99814359282,251.5446268460749,251.40142958555649,0.8394995017908834,13.041836659656429,-0.014393159113448847,-0.045534310991675334,0.04329872781980536,-0.03389817954851089,0.05498969166190299,0.043291242002612036,-0.03782580901531155,0.02397295194111301,-5.020604621712684e-05,-0.0008102847180697748,-0.012914278791547596,-0.043341438610880655,-1.130187078757942e-08,0.0,-0.008747951077668773,4.629448001047554,0.0,-0.008747951075671357,4.629447999990514,146.63856383398712,-4.6839291070991,-0.028934051363790576,146.63856383398712,-4.6839291070991,-0.028934051363790576,3.2944106352253943e-09,-0.40717179596756486,-25.047819699188032,0.0,0.0,-11.999999999999996,24.64064789992606,-25.454991498450006,24.64064790651488,-25.454991491861186,11.999999999999996,-11.999999999999996,11.999999999999996,-11.999999999999996,13641.309389495158,91.58798,1.53498,0.0029623209799799154,-0.47954920962304154,0.00550264734364804,3.0773912780203037,3.077396197626043,0.47955835911354133,0.0025403263636681246,3.5569404876433453,3.5569413947793,6175.795913088109,14.104680934406199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03000000000000002,5,0,0,30,7.659726330199809,-0.001422994773788747,9999.995463002959,5994.0,1500.0,10000.0,7.406475987244447,-0.0012804234532473831,9999.995755317606,253.35670506902034,253.14438628848123,0.8453197279677026,13.223305730196568,-0.033369259319378015,-0.06720498439724258,0.06490121507817363,-0.11542833825795279,0.1324230466841797,0.06488339536422247,-0.125183480956109,0.09198748615104711,-0.000178302438317891,-0.0008102847180697748,-0.031140946062688114,-0.06506154282879235,-1.49613890404789e-07,0.0,-0.019783876404615344,10.857450700571835,0.0,-0.0197838764000981,10.857450698092759,215.72234812856104,-7.238272266437755,-0.04395628356269356,215.72234812856104,-7.238272266437755,-0.04395628356269356,4.313973589525857e-08,-0.599968013621711,-19.039902504414023,1.0983924880747509e-09,-0.030801930534014588,-17.969198069465985,18.439934447652575,-19.63987056117547,18.439934533932046,-19.639870474896,17.938396136735186,-18.0,17.938396141128756,-18.0,19993.909268670344,91.40382,1.53462,0.004500324523004897,-0.7410675231079512,0.008356422147148415,3.1083373435378236,3.108348576177208,0.7410811876752547,0.0038560976241435183,3.849404866645775,3.8494067980462994,6171.407792486893,14.041706916499274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04000000000000003,5,0,0,30,10.205242052324676,-0.0034279100976612547,9999.991999611131,5992.0,1500.0,10000.0,9.949520933188463,-0.0031810056112296643,9999.99239075425,255.8626705630729,255.58035017339117,0.8534541889026289,13.479031316724171,-0.05633070882020092,-0.0887145251142155,0.08637842340448659,-0.27141438595167067,0.2848279219478418,0.08644764250148487,-0.28912761235366224,0.2314545988575138,-0.00011322995659871995,-0.0008102847180697748,-0.05430886604543705,-0.08655977384884232,-6.990860479083071e-07,1.9289709499982152e-07,0.1034494985503541,18.847164460625915,1.9289709495577743e-07,0.10344949852673352,18.847164456322552,285.73072651011876,-6.979378118552578,0.1785118294915597,285.73072651011876,-6.979378118552578,0.1785118294915597,1.929388503934443e-07,-0.6177435995116222,-11.305575211959248,7.086071729389687e-08,-0.5532436913976166,-16.03556653237923,10.687831419508775,-11.92331900440972,10.687831805386477,-11.923318618532019,15.482322776304708,-16.588810300821375,15.482322905658522,-16.58881014673232,26346.50909845424,91.21966,1.53426,-0.018276366834226926,-0.7145614670621846,0.011297612557014261,3.1506500228287475,3.1506702782741765,0.7147951565271835,0.029573979391241186,3.865211489890932,3.865324628261113,6166.99917382971,13.95808687023399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05000000000000004,5,0,0,30,12.779342197436232,-0.006309702148835226,9999.987535811988,5990.0,1500.0,10000.0,12.520443950014283,-0.005995824237093131,9999.98802735319,259.0755063255347,258.72216492493425,0.8639458063496097,13.812476290543831,-0.06984845320797965,-0.10981554143123137,0.10929125246936176,-0.4944242719482825,0.5063592026114448,0.10959073169290057,-0.5185722342872451,0.4453332707504268,0.001841474825916391,0.0008102847180697748,-0.06907718953807265,-0.10774482645808235,2.015158879392003e-06,6.344380920420779e-07,0.3336594211261262,24.889149525469296,6.344380918972169e-07,0.33365942104994184,24.88914951978637,356.64849349725813,-4.371643824949277,0.16759585374994124,356.64849349725813,-4.371643824949277,0.16759585374994124,-5.833611137260651e-07,-0.5328245823887136,-5.426391442346532,7.086071729389687e-08,-0.5532436913976166,-10.035566532379235,4.893567443318932,-5.959215441374131,4.8935662765967045,-5.959216608096359,9.482322776304711,-10.588810300821379,9.482322905658526,-10.588810146732325,32699.108877705963,91.0355,1.5339,-0.017158769295957298,-0.4475768711338258,0.014375120376846363,3.2032647143688666,3.203296969437349,0.44790565852386505,0.03153388967280366,3.6508415855026923,3.6509777688495597,6162.563242788128,13.853672924176585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.060000000000000046,5,0,0,30,15.387961652282689,-0.009554990768408541,9999.982069553955,5988.0,1500.0,10000.0,15.125488622620876,-0.009230319179846543,9999.982661191267,262.653221322946,262.29434199006374,0.8758745451441315,14.19654654012142,-0.07062656349651872,-0.13015057047739328,0.13373066593562705,-0.7571268705461645,0.7688458546056359,0.13426183301913755,-0.7850327314365528,0.7097034011260731,0.006102653267165716,0.0008102847180697748,-0.07112016410535049,-0.12814688595593604,1.9704347671825384e-05,1.005346638283275e-06,0.5649176483468977,28.232644346780635,1.0053466380537247e-06,0.5649176482179104,28.232644340334286,358.6604244493538,-1.5769631802524557,0.15174683873843567,358.6604244493538,-1.5769631802524557,0.15174683873843567,-5.40899919538134e-06,-0.41856987752904945,-2.2267563524463916,-6.433674115680077e-07,-0.5341159192941037,-4.0866544688260324,1.8081918839165376,-2.6453208209762455,1.8081810659181468,-2.6453316389746364,3.552539198051292,-4.620769749904676,3.5525379010125646,-4.620771026335595,32822.213629058046,90.94022602739726,1.53265799086758,-0.015536118195466237,-0.16145236739020744,0.017539730095961662,3.261684377688138,3.261731537356607,0.16219814396128585,0.0330758482914279,3.423136745078345,3.4232965380238047,6158.094122859862,13.737382199144873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07000000000000005,5,0,0,30,18.032450180987514,-0.012600743314795049,9999.975606826405,5986.0,1500.0,10000.0,17.766382232061318,-0.012319337053000534,9999.976297530511,266.2491591383301,265.8885286076904,0.8878766841741502,14.588298014452752,-0.05988060622924618,-0.14969315102388836,0.15964663172447324,-1.0334250793661508,1.0456823981472736,0.16037766191471506,-1.0625358927995883,0.9974496521119632,0.012570205074470415,0.0008102847180697748,-0.06131786690957356,-0.14778083628788824,6.576841536960327e-05,-2.693806988216977e-05,0.7521041342588609,29.16784145582639,-2.6938069876019012e-05,0.7521041340871333,29.16784144916651,360.378905491912,0.12364552610712647,0.05501230515607658,360.378905491912,0.12364552610712647,0.05501230515607658,-1.68141904258138e-05,-0.32831811023116647,-1.3550310914791428,-1.0561548316301295e-05,-0.36191053195747624,-1.3108019219290368,1.0267297954384023,-1.6833323875198833,1.0266961670575505,-1.683366015900735,0.9489019511181225,-1.6727018919364425,0.9488808288249982,-1.6727230158365833,32945.31832994553,90.84495205479452,1.5314159817351598,-0.005632260154560747,0.012659054515295934,0.020760835961941736,3.319910028748909,3.3199749413658863,0.013855468800076272,0.026393096116502483,3.307250974233613,3.3073562859316805,6153.590372999855,13.621756364665083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08000000000000006,5,0,0,30,20.712977287299605,-0.015020804976291203,9999.968162727697,5984.0,1500.0,10000.0,20.44329831705581,-0.01481441438083282,9999.96895088289,269.8611553425932,269.4989103776541,0.8999327740470624,14.987180883120018,-0.042908771783397796,-0.16836600060621335,0.186325291860436,-1.3092943468296414,1.3224835567320803,0.1871837306475249,-1.338654274706399,1.2906817521390967,0.020601433819408606,0.0008102847180697748,-0.04479163789456696,-0.1665333689015258,0.00014935955647112217,-0.00013912069151745358,0.8718933440285713,29.388481050895944,-0.00013912069148568822,0.8718933438294924,29.388481044185685,362.0001067507617,0.4189264924835691,-0.0026555952923446096,362.0001067507617,0.4189264924835691,-0.0026555952923446096,-3.484970407953318e-05,-0.27295533418480583,-1.2498589105876838,-2.5619055912251554e-05,-0.2927964892326602,-1.243269574151177,0.9769384261069576,-1.52277939506841,0.9768687266987985,-1.5228490944765691,0.9504987038820714,-1.5360404442355673,0.9504474659549621,-1.5360916825321071,33068.42298110246,90.74967808219178,1.5301739726027397,0.00027188468970486046,0.04289045840169394,0.024009160797042826,3.378172410855272,3.3782577280701807,0.04289132013813441,0.023737276107337967,3.3352819524535784,3.335366420745935,6149.051730056259,13.507131596618422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09000000000000007,5,0,0,30,23.429700981942048,-0.01657156164395711,9999.95975079919,5982.0,1500.0,10000.0,23.156395307205216,-0.016461721428379955,9999.96063521037,273.48886523472464,273.1250359929438,0.9120413640720078,15.393218568290466,-0.021885465367824618,-0.18628605658471603,0.21334950766766803,-1.5830791507654802,1.59738724997532,0.21430092651859656,-1.6126081675021904,1.5857569959332434,0.02969285559484346,0.0008102847180697748,-0.024169838840658223,-0.1845272259298158,0.0002760560310915057,-0.000381163304831438,0.9597085608317899,29.54821698069035,-0.0003811633047444072,0.95970856061266,29.548216973943617,363.6172232144855,0.6543506011489211,-0.048730030061287316,363.6172232144855,0.6543506011489211,-0.048730030061287316,-5.912435177668988e-05,-0.2270971828985667,-1.2144460317110506,-4.708048938789622e-05,-0.24715141119143097,-1.2318960404591732,0.9874079731642605,-1.4414840902578405,0.9872897244607072,-1.441602338961394,0.9847917097887067,-1.4790003711927928,0.984697548746778,-1.4790945321084157,33191.52758323508,90.65440410958904,1.5289319634703196,0.004989069345853043,0.06699360787437919,0.02729034124187385,3.43670563202154,3.4368139844765633,0.06717912107912556,0.022301271896020807,3.3697120241471605,3.369785819960986,6144.477986364643,13.393594789444807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
