0,0,91.9563,1.5357,0.3078,59.8043
0.001,1571.36948316526,91.937884,1.535664,0.3078,59.803216
0.002,2206.62948242418,91.919468,1.535628,0.3078,59.802132
0.003,2841.88948118913,91.901052,1.535592,0.3078,59.801048
0.004,3477.14947946018,91.882636,1.535556,0.3078,59.799964
0.005,4112.40947723742,91.86422,1.53552,0.3078,59.79888
0.006,4747.66947452091,91.845804,1.535484,0.3078,59.797796
0.007,5382.92947131072,91.827388,1.535448,0.3078,59.796712
0.008,6018.18946760693,91.808972,1.535412,0.3078,59.795628
0.009,6653.44946340962,91.790556,1.535376,0.3078,59.794544
0.01,7288.70945871885,91.77214,1.53534,0.3078,59.79346
0.011,7923.9694535347,91.753724,1.535304,0.3078,59.792376
0.012,8559.22944785725,91.735308,1.535268,0.3078,59.791292
0.013,9194.48944168656,91.716892,1.535232,0.3078,59.790208
0.014,9829.74943502271,91.698476,1.535196,0.3078,59.789124
0.015,10465.0094278658,91.68006,1.53516,0.3078,59.78804
0.016,11100.2694202158,91.661644,1.535124,0.3078,59.786956
0.017,11735.5294120729,91.643228,1.535088,0.3078,59.785872
0.018,12370.7894034372,91.624812,1.535052,0.3078,59.784788
0.019,13006.0493943086,91.606396,1.535016,0.3078,59.783704
0.02,13641.3093846874,91.58798,1.53498,0.3078,59.78262
0.021,14276.5693745734,91.569564,1.534944,0.3078,59.781536
0.022,14911.829363967,91.551148,1.534908,0.3078,59.780452
0.023,15547.089352868,91.532732,1.534872,0.3078,59.779368
0.024,16182.3493412766,91.514316,1.534836,0.3078,59.778284
0.025,16817.6093291928,91.4959,1.5348,0.3078,59.7772
0.026,17452.8693166168,91.477484,1.534764,0.3078,59.776116
0.027,18088.1293035485,91.459068,1.534728,0.3078,59.775032
0.028,18723.3892899881,91.440652,1.534692,0.3078,59.773948
0.029,19358.6492759357,91.422236,1.534656,0.3078,59.772864
0.03,19993.9092613913,91.40382,1.53462,0.3078,59.77178
0.031,20629.1692463549,91.385404,1.534584,0.3078,59.770696
0.032,21264.4292308267,91.366988,1.534548,0.3078,59.769612
0.033,21899.6892148066,91.348572,1.534512,0.3078,59.768528
0.034,22534.9491982933,91.330156,1.534476,0.3078,59.767444
0.035,23170.2091812848,91.31174,1.53444,0.3078,59.76636
0.036,23805.4691637792,91.293324,1.534404,0.3078,59.765276
0.037,24440.7291457744,91.274908,1.534368,0.3078,59.764192
0.038,25075.9891272689,91.256492,1.534332,0.3078,59.763108
0.039,25711.2491082612,91.238076,1.534296,0.3078,59.762024
0.04,26346.5090887506,91.21966,1.53426,0.3078,59.76094
0.041,26981.7690687368,91.201244,1.534224,0.3078,59.759856
0.042,27617.0290482199,91.182828,1.534188,0.3078,59.758772
0.043,28252.2890272,91.164412,1.534152,0.3078,59.757688
0.044,28887.5490056772,91.145996,1.534116,0.3078,59.756604
0.045,29522.8089836515,91.12758,1.53408,0.3078,59.75552
0.046,30158.0689611232,91.109164,1.534044,0.3078,59.754436
0.047,30793.3289380923,91.090748,1.534008,0.3078,59.753352
0.048,31428.5889145589,91.072332,1.533972,0.3078,59.752268
0.049,32063.8488905232,91.053916,1.533936,0.3078,59.751184
0.05,32699.1088659853,91.0355,1.5339,0.3078,59.7501
0.051,32711.4193432285,91.0259726027397,1.53377579908676,0.307762557077626,59.7419278538813
0.052,32723.7298199699,91.0164452054795,1.53365159817352,0.307725114155251,59.7337557077626
0.053,32736.0402962096,91.0069178082192,1.53352739726027,0.307687671232877,59.7255835616438
0.054,32748.3507719477,90.9973904109589,1.53340319634703,0.307650228310502,59.7174114155251
0.055,32760.6612471846,90.9878630136986,1.53327899543379,0.307612785388128,59.7092392694064
0.056,32772.9717219203,90.9783356164384,1.53315479452055,0.307575342465753,59.7010671232877
0.057,32785.2821961551,90.9688082191781,1.53303059360731,0.307537899543379,59.692894977169
0.058,32797.5926698892,90.9592808219178,1.53290639269406,0.307500456621005,59.6847228310502
0.059,32809.9031431228,90.9497534246575,1.53278219178082,0.30746301369863,59.6765506849315
