0,0,-0.000114999596144212,-28
0.001,0,-0.02131943852517,-28
0.002,0,-0.042540110209074,-28
0.003,0.000238205664128811,-0.0637686715138165,-28
0.004,0.000238156298161413,-0.0849967262086999,-28
0.005,0.000238096592690592,-0.106215856442848,-28
0.006,0.000238026558307323,-0.127417625528516,-28
0.007,0.000237946208562889,-0.148593585248633,-28
0.008,0.000237855559963476,-0.169735283206265,-28
0.009,0.00023775463196294,-0.190834270203918,-28
0.01,0.000237643446953783,-0.211882107644824,-28
0.011,0.000237522030256324,-0.232870374944013,-28
0.012,0.000237390410106092,-0.253790676941176,-27.9312543151061
0.013,0.000237248617639448,-0.27463465130359,-27.6376448997918
0.014,0.000237096686877457,-0.295393975908928,-27.3179322231301
0.015,0.00023693465470802,-0.316060376199458,-26.9722165293128
0.016,0.000236762560866292,-0.336625632495888,-26.6006035295969
0.017,0.000236580447913407,-0.357081587261353,-26.2032043227319
0.018,0.000236388361213533,-0.377420152305002,-25.7801353125169
0.019,0.00023618634890928,-0.397633315917479,-25.3315181225617
0.02,0.000235974461895493,-0.417713149925234,-24.8574795083281
0.021,0.000235752753791455,-0.437651816656206,-24.3581512665313
0.022,0.000235521280911534,-0.45744157580785,-23.8336701419818
0.023,0.000235280102234305,-0.47707479120394,-23.2841777319543
0.024,0.000235029279370176,-0.496543937438933,-22.709820388166
0.025,0.00023476887652757,-0.515841606391891,-22.1107491164548
0.026,0.000234498960477671,-0.534960513607623,-21.4871194742457
0.027,0.000234219600517813,-0.553893504534326,-20.8390914658966
0.028,0.000233930868433504,-0.572633560608494,-20.1668294360162
0.029,0.000233632838459175,-0.591173805181108,-19.4705019608469
0.03,0.000233325587237653,-0.609507509275862,-18.7502817378091
0.031,0.000233009193778436,-0.627628097172458,-18.0063454733001
0.032,0.000232683739414789,-0.643947991718949,-17.2388737688462
0.033,0.000231562769080162,-0.652125750010758,-16.4487748280288
0.034,0.000228661768154214,-0.655817053812487,-15.6418176480311
0.035,0.000223845886195218,-0.655753407348105,-14.8272318380717
0.036,0.000217202368337111,-0.652431610570856,-14.01393077503
0.037,-0.000252986636776777,-0.64636485568862,-13.2099961471854
0.038,-0.000262119675718014,-0.638121069992382,-12.422512004075
0.039,-0.000271915478670672,-0.63053568426902,-11.6574510314632
0.04,-0.000281456366964942,-0.623694560758323,-10.9185153437442
0.041,-0.000290962872381606,-0.61649557641771,-10.2066476415887
0.042,-0.000300434247796465,-0.608938902147864,-9.52185986094219
0.043,-0.000309869762770087,-0.601024986925546,-8.86415847488925
0.044,-0.00031926870376899,-0.592754556902008,-8.23354448886431
0.045,-0.00032863037437405,-0.584128614181755,-7.63001343832323
0.046,-0.000337954095476103,-0.575148435283891,-7.05355538882433
0.047,-0.000347239205458716,-0.565815569293785,-6.50415493846587
0.048,-0.000356485060368126,-0.556131835710725,-5.98179122262535
0.049,-0.000365691034070357,-0.546099321999534,-5.48643792094463
0.05,-0.000374856518395528,-0.535720380847847,-5.01806326650358
0.051,-0.000383943105048288,-0.525177795069521,-4.57628910954691
0.052,-0.000393004951417838,-0.514393039353561,-4.16169817703084
0.053,-0.000402042211385251,-0.503370076713055,-3.77418830954809
0.054,-0.000411055039223322,-0.492112897581389,-3.41365767454357
0.055,-0.000420043589566754,-0.480625519131108,-3.08000472705623
0.056,-0.000429008017381921,-0.46891198460146,-2.77312817015573
0.057,-0.000437948477936201,-0.456976362639284,-2.4929269150674
0.058,-0.000446865126766892,-0.444822746647941,-2.23930004097992
0.059,-0.000455758119649724,-0.432455254149472,-2.01214675453018
0.06,-0.000464627612566955,-0.419878026156381,-1.81136634896058
0.061,-0.000473473761675081,-0.407095226554049,-1.63685816294421
0.062,-0.000482296723272153,-0.394871874051715,-1.48852153907433
0.063,-0.000487204753840957,-0.383798881567929,-1.36582491630736
0.064,-0.000485005340654871,-0.373421221641369,-1.26651707231531
0.065,-0.000476160888098623,-0.363713738092375,-1.18778290003382
0.066,-0.000461342597926016,-0.354635283504687,-1.12686065816847
0.067,-0.000441342731188674,-0.346135302652316,-1.08112008023498
0.068,-0.000417006345271189,-0.338158260765136,-1.0481165557665
0.069,-0.000389179442589979,-0.330647158952107,-1.02511445265091
0.07,-0.000358671267185856,-0.323546218162315,-1.01058263423856
0.071,-0.000326228497395601,-0.316802829834868,-1.00281434406167
0.072,-0.000292519188199728,-0.310368877463088,-1.00031084364997
0.073,-0.000258124485756359,-0.304201533224475,-1.00180402185222
0.074,-0.000223536344323368,-0.298263629626736,-1.00624008573733
0.075,-0.000189159702635979,-0.292523698636713,-1.01276008870452
0.076,-0.000155317807833895,-0.286955761267353,-1.0206787462917
0.077,-0.000122259599073472,-0.281538940008986,-1.02946268817803
0.078,-9.01682723131185e-05,-0.276256955547516,-1.03870902853299
