t,hbe,dvbe,alphax,betax,ppx,qqx,rrx,dpcx,dqcx,drcx,dpx,dqx,drx
0.0,9999.9999975583,249.99911265735875,0.0,0.0,0.0,-1.052907751219773e-05,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
0.010000000000000002,9999.999460811605,250.42402751167225,0.021198153485605158,0.0,0.0,-0.009823542852112673,0.0,0.0,0.18472412140242342,-0.0,0.0,0.08813073211738562,0.0
0.02000000000000001,9999.997953610806,251.54764976000715,0.04285016626266247,0.0,0.0,-0.08601324310579832,0.0,0.0,0.29834284776972037,-0.0,0.0,0.259396023681275,0.0
0.03000000000000002,9999.995486911801,253.36748260234475,0.06293514302168753,0.0,0.0,-0.22460020016003163,0.0,0.0,0.3367779737322328,-0.0,0.0,0.3298016631940731,0.0
0.04000000000000003,9999.992067143397,255.8861289757476,0.08092527150494523,0.0,0.0,-0.38829780616831294,0.0,0.0,0.33232270551757565,-0.0,0.0,0.3398410597492985,0.0
0.05000000000000004,9999.987695645092,259.10619462504485,0.09657850823312951,0.0,0.0,-0.5581108990832061,0.0,0.0,0.3011653862822957,-0.0,0.0,0.3188745921178218,0.0
0.060000000000000046,9999.982370140107,262.6859478358113,0.10993392137003888,0.0,0.0,-0.7225344934499466,0.0,0.0,0.25633981510233017,-0.0,0.0,0.2781847532512331,0.0
0.07000000000000005,9999.976086071489,266.2819173684729,0.12126197291205949,0.0,0.0,-0.8738921871450304,0.0,0.0,0.2092507796666235,-0.0,0.0,0.2308559830329098,0.0
0.08000000000000006,9999.968837148732,269.89409419279974,0.13075315759524672,0.0,0.0,-1.0090933266590014,0.0,0.0,0.16390877030264206,-0.0,0.0,0.18425180249168666,0.0
0.09000000000000007,9999.960615797703,273.52246815645634,0.1386072923481516,0.0,0.0,-1.1273494591279205,0.0,0.0,0.12229719250026817,-0.0,0.0,0.14069833961560455,0.0
0.10000000000000007,9999.951413472145,277.1670279934377,0.145021698254216,0.0,0.0,-1.2289189970704635,0.0,0.0,0.08535807930653908,-0.0,0.0,0.10151717109963307,0.0
0.11000000000000008,9999.941220880712,280.82776131502544,0.1501831163193551,0.0,0.0,-1.314775292484929,0.0,0.0,0.05331466695830622,-0.0,0.0,0.06722506830203435,0.0
0.12000000000000009,9999.930028166018,284.50465459418376,0.1542629895161116,0.0,0.0,-1.3862693918804427,0.0,0.0,0.02598568898473842,-0.0,0.0,0.03778065775097574,0.0
0.1300000000000001,9999.917825087585,288.19777243626396,0.15741154839604382,0.0,0.0,-1.4457306634121392,0.0,0.0,-0.00048176908787586614,-0.0,0.0,0.0114069456375335,0.0
0.1400000000000001,9999.904601238904,291.9072199345565,0.15975443087686628,0.0,0.0,-1.4942825041019627,0.0,0.0,-0.022965115809492433,-0.0,0.0,-0.013344541786915416,0.0
0.1500000000000001,9999.890345808857,295.632992516593,0.16141483482261146,0.0,0.0,-1.5324363271303134,0.0,0.0,-0.041245338482470646,-0.0,0.0,-0.03350080447695005,0.0
0.16000000000000011,9999.875047769627,299.37508374630056,0.16250002938348487,0.0,0.0,-1.561859708075599,0.0,0.0,-0.05616740971395141,-0.0,0.0,-0.04982149239809236,0.0
0.17000000000000012,9999.858695977242,303.1334862634674,0.1631008708855486,0.0,0.0,-1.5838698460348262,0.0,0.0,-0.0683222477390022,-0.0,0.0,-0.06316047978347718,0.0
0.18000000000000013,9999.841279179345,306.9081917569519,0.16329519896465244,0.0,0.0,-1.5995731920188898,0.0,0.0,-0.07819132245138116,-0.0,0.0,-0.07400557920271152,0.0
